Potential (V)	Current (A)	Elapsed Time (s)	Zre (ohms)	Zim (ohms)	
-0.00981436483561993	-2.52848599302524E-06	1800.016	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0161	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0162	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0163	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0164	0	0	
-0.00981436483561993	-2.52848599302524E-06	1800.0165	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0166	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0167	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0168	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0169	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.017	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0171	0	0	
-0.00981436483561993	-2.52848599302524E-06	1800.0172	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0173	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0174	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0175	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0176	0	0	
-0.00981436483561993	-2.52787299359625E-06	1800.0177	0	0	
-0.00981436483561993	-2.52787299359625E-06	1800.0178	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0179	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.018	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0181	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0182	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0183	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0184	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0185	0	0	
-0.00981436483561993	-2.52725999416725E-06	1800.0186	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0187	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0188	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0189	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.019	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0191	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0192	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0193	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0194	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0195	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0196	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0197	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0198	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0199	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.02	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0201	0	0	
-0.00981436483561993	-2.52541894951719E-06	1800.0202	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0203	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0204	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0205	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0206	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0207	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0208	0	0	
